City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,morehead city,34.7229,-76.726,63.0,74,20,10.0,US,1682472889
167,goundam,16.4145,-3.6708,81.07,12,0,8.7,ML,1682472889
168,gimcheon,36.1218,128.1198,51.12,76,100,1.14,KR,1682472889
169,xiaogan,30.9167,113.9,62.69,64,8,6.85,CN,1682472890
170,okhotsk,59.3833,143.3,32.94,83,87,7.25,RU,1682472890
171,uturoa,-16.7333,-151.4333,82.71,75,81,8.32,PF,1682472890
172,rawson,-43.3002,-65.1023,57.42,82,100,9.73,AR,1682472650
173,greymouth,-42.4667,171.2,55.4,70,100,7.56,NZ,1682472890
174,arraial do cabo,-22.9661,-42.0278,75.06,88,0,5.75,BR,1682472891
175,skofljica,45.9833,14.5767,40.87,90,44,0.98,SI,1682472892
176,fortuna,40.5982,-124.1573,60.93,75,9,1.99,US,1682472892
177,hede,33.7681,120.2517,61.7,54,0,9.53,CN,1682472892
178,quartu sant'elena,39.2419,9.1839,64.08,81,0,8.05,IT,1682472893
179,broken hill,-31.95,141.4333,75.83,33,100,19.39,AU,1682472684
180,kui buri,12.0828,99.8543,86.54,65,100,2.1,TH,1682472893
181,acarau,-2.8856,-40.12,77.22,89,89,7.78,BR,1682472894
182,timbuktu,16.7735,-3.0074,80.98,11,0,9.26,ML,1682472894
183,vorgashor,67.5833,63.95,12.6,96,90,10.33,RU,1682472894
184,karratha,-20.7377,116.8463,83.28,37,88,4.74,AU,1682472894
185,osakarovka,50.565,72.5692,51.03,59,3,4.63,KZ,1682472894
186,kodiak,57.79,-152.4072,40.51,81,75,14.97,US,1682472807
187,lodja,-3.4833,23.4333,69.58,95,100,1.01,CD,1682472895
188,howard springs,-12.497,131.047,87.82,70,100,12.39,AU,1682472895
189,tacna,-18.0056,-70.2483,62.8,77,75,3.44,PE,1682472752
190,quellon,-43.1167,-73.6167,50.25,100,100,6.91,CL,1682472895
191,kimbe,-5.5502,150.1429,87.42,65,83,4.81,PG,1682472895
192,tshabong,-26.05,22.45,68.31,52,0,7.07,BW,1682472896
193,chicoana,-25.1009,-65.5331,58.05,80,0,2.39,AR,1682472896
194,isabela,6.7085,121.9711,86.05,61,100,5.55,PH,1682472896
195,at taj,24.2049,23.2857,71.94,16,0,11.32,LY,1682472896
196,harstad,68.799,16.5293,32.16,93,100,15.99,NO,1682472896
197,san patricio,28.017,-97.5169,75.15,87,61,10.71,US,1682472897
198,tabuk,17.4189,121.4443,81.66,70,85,2.8,PH,1682472897
199,colonia,50.9333,6.95,40.86,80,0,3.44,DE,1682472859
200,harper,4.375,-7.7169,79.43,86,100,5.37,LR,1682472897
201,buka,40.8108,69.1986,59.86,60,0,7.02,UZ,1682472897
202,jayapura,-2.5333,140.7,88.99,65,38,5.35,ID,1682472852
203,vilyuysk,63.7553,121.6247,31.55,96,100,9.6,RU,1682472898
204,sovetskaya gavan',48.9723,140.2878,40.32,76,100,14.74,RU,1682472898
205,ataq,14.5377,46.8319,71.24,61,7,6.69,YE,1682472898
206,zuyevka,58.405,51.1335,51.62,92,100,7.36,RU,1682472899
